model,model_short,run_dir,layer,condition,mean_absent,mean_suppressed_indirect,mean_mentioned,delta_suppressed_indirect_minus_absent,delta_mentioned_minus_suppressed_indirect,delta_mentioned_minus_absent,n
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model\llama_indirect_only\meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,29,suppressed_indirect,0.1305589852198023,0.5820398138164068,0.8306177746246985,0.4514808285966045,0.24857796080829175,0.7000587894048964,136
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model\llama_indirect_only\meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,30,suppressed_indirect,0.12254073142912206,0.5831854020765044,0.81378819379838,0.4606446706473823,0.23060279172187564,0.6912474623692579,136
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model\llama_indirect_only\meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,31,suppressed_indirect,0.1419464387455542,0.5538195845880933,0.795725504279158,0.41187314584253915,0.24190591969106467,0.6537790655336038,136
meta-llama/Meta-Llama-3-8B-Instruct,Llama 3 8B Inst.,results_cross_model\llama_indirect_only\meta-llama_Meta-Llama-3-8B-Instruct__pool-mean_nonpad__seed-42,32,suppressed_indirect,0.14052680120910088,0.6366159431744094,0.7954717841218688,0.4960891419653085,0.1588558409474594,0.6549449829127678,136
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model\mistral_indirect_only\mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,0,suppressed_indirect,0.16829114854587324,0.6942216836122261,0.6549171072306369,0.5259305350663528,-0.03930457638158918,0.48662595868476355,136
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model\mistral_indirect_only\mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,1,suppressed_indirect,0.15392677656424653,0.6783867008033927,0.7054169758375805,0.5244599242391462,0.027030275034187763,0.551490199273334,136
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model\mistral_indirect_only\mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,2,suppressed_indirect,0.16266130533837211,0.5596669903889605,0.6074353347211486,0.3970056850505883,0.0477683443321882,0.4447740293827765,136
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model\mistral_indirect_only\mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,3,suppressed_indirect,0.13640192133021176,0.5445839529175598,0.6221775142680444,0.408182031587348,0.07759356135048454,0.48577559293783257,136
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model\mistral_indirect_only\mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,4,suppressed_indirect,0.11289466161723724,0.5249668690129261,0.6023756766069326,0.41207220739568884,0.0774088075940065,0.4894810149896954,136
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model\mistral_indirect_only\mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,5,suppressed_indirect,0.08796612056829896,0.5116633907229586,0.5098165952251593,0.42369727015465963,-0.0018467954977992747,0.4218504746568603,136
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model\mistral_indirect_only\mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,6,suppressed_indirect,0.115052706476915,0.4581712658545743,0.43689765239905654,0.3431185593776593,-0.021273613455517752,0.3218449459221415,136
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model\mistral_indirect_only\mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,7,suppressed_indirect,0.10221235054901669,0.4613491945409163,0.45967487552583464,0.35913684399189955,-0.0016743190150815856,0.35746252497681796,136
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model\mistral_indirect_only\mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,8,suppressed_indirect,0.08029522896924085,0.4638243311640816,0.44004715066964933,0.38352910219484077,-0.023777180494432264,0.3597519217004085,136
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model\mistral_indirect_only\mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,9,suppressed_indirect,0.07628729749992293,0.473756440243402,0.46948362463075255,0.39746914274347905,-0.004272815612649413,0.3931963271308296,136
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model\mistral_indirect_only\mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,10,suppressed_indirect,0.07018556379086141,0.4242136342349008,0.4422658967710878,0.3540280704440394,0.018052262536187,0.3720803329802264,136
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model\mistral_indirect_only\mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,11,suppressed_indirect,0.07314878623720927,0.42771487619829973,0.44061177775030086,0.35456608996109046,0.012896901552001197,0.3674629915130916,136
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model\mistral_indirect_only\mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,12,suppressed_indirect,0.07864939088676937,0.423733552121625,0.45567014428714847,0.34508416123485564,0.031936592165523546,0.37702075340037916,136
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model\mistral_indirect_only\mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,13,suppressed_indirect,0.08486726376589457,0.41245110529858797,0.46585514174426773,0.3275838415326935,0.05340403644567969,0.3809878779783732,136
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model\mistral_indirect_only\mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,14,suppressed_indirect,0.10966361012986828,0.4767219431173403,0.5483029100539077,0.36705833298747204,0.07158096693656735,0.4386392999240394,136
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model\mistral_indirect_only\mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,15,suppressed_indirect,0.10905933341466695,0.43769879646740756,0.6041324722000823,0.3286394630527406,0.16643367573267454,0.49507313878541526,136
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model\mistral_indirect_only\mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,16,suppressed_indirect,0.10093977755384932,0.38982894717153266,0.6178215273673819,0.2888891696176833,0.22799258019584928,0.5168817498135325,136
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model\mistral_indirect_only\mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,17,suppressed_indirect,0.08658838462901688,0.3668483299965022,0.5687861891864434,0.2802599453674853,0.2019378591899413,0.48219780455742656,136
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model\mistral_indirect_only\mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,18,suppressed_indirect,0.09325948399334505,0.3905423236306666,0.6075490319548379,0.29728283963732155,0.2170067083241713,0.5142895479614927,136
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model\mistral_indirect_only\mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,19,suppressed_indirect,0.07033160989816725,0.4042443566234669,0.5919705326921219,0.33391274672529964,0.18772617606865497,0.5216389227939546,136
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model\mistral_indirect_only\mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,20,suppressed_indirect,0.0713342946484738,0.4164409145177923,0.6074798010024568,0.3451066198693185,0.19103888648466452,0.5361455063539831,136
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model\mistral_indirect_only\mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,21,suppressed_indirect,0.06776037319544898,0.40661357508223406,0.5913350142819046,0.338853201886785,0.18472143919967063,0.5235746410864557,136
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model\mistral_indirect_only\mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,22,suppressed_indirect,0.05934137422152942,0.40359895035252785,0.5838872674790538,0.3442575761309984,0.18028831712652604,0.5245458932575244,136
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model\mistral_indirect_only\mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,23,suppressed_indirect,0.05693510842697959,0.40947424955460554,0.5636972869583786,0.352539141127626,0.15422303740377316,0.5067621785313992,136
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model\mistral_indirect_only\mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,24,suppressed_indirect,0.05819488526310924,0.4071459522255662,0.5574440690493168,0.3489510669624569,0.15029811682375052,0.4992491837862075,136
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model\mistral_indirect_only\mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,25,suppressed_indirect,0.05676313533799,0.4140972632618549,0.5524162448441697,0.3573341279238649,0.1383189815823147,0.49565310950617963,136
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model\mistral_indirect_only\mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,26,suppressed_indirect,0.06087362806995672,0.4225980942957964,0.5516000253530644,0.3617244662258397,0.12900193105726804,0.49072639728310774,136
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model\mistral_indirect_only\mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,27,suppressed_indirect,0.05759975211892236,0.426057422514852,0.5488613157394714,0.36845767039592964,0.12280389322461935,0.49126156362054896,136
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model\mistral_indirect_only\mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,28,suppressed_indirect,0.06239830754612017,0.43579343164965645,0.546551219930795,0.3733951241035363,0.11075778828113844,0.4841529123846747,136
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model\mistral_indirect_only\mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,29,suppressed_indirect,0.06366403418876158,0.439032663737298,0.5474326458927963,0.3753686295485364,0.10839998215549829,0.48376861170403473,136
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model\mistral_indirect_only\mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,30,suppressed_indirect,0.06541296543262888,0.4778879206615934,0.5544955215455388,0.4124749552289645,0.07660760088394539,0.48908255611290985,136
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model\mistral_indirect_only\mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,31,suppressed_indirect,0.06744800877477898,0.49781937433402446,0.551751898123058,0.4303713655592455,0.053932523789033626,0.48430388934827906,136
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model\mistral_indirect_only\mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,32,suppressed_indirect,0.07713434805691526,0.47933810412527117,0.5536328063195488,0.402203756068356,0.07429470219427756,0.47649845826263343,136
google/gemma-7b-it,Gemma 7B IT,results_cross_model\gemma_indirect_only\google_gemma-7b-it__pool-mean_nonpad__seed-42,0,suppressed_indirect,0.19580245082512382,0.6550882529674704,0.6873880066590772,0.4592858021423466,0.03229975369160679,0.49158555583395325,136
google/gemma-7b-it,Gemma 7B IT,results_cross_model\gemma_indirect_only\google_gemma-7b-it__pool-mean_nonpad__seed-42,1,suppressed_indirect,0.18084352291497924,0.6271419225929965,0.6942751558969439,0.4462983996780172,0.06713323330394746,0.5134316329819647,136
google/gemma-7b-it,Gemma 7B IT,results_cross_model\gemma_indirect_only\google_gemma-7b-it__pool-mean_nonpad__seed-42,2,suppressed_indirect,0.18042894633216916,0.61043948652568,0.6978894132159316,0.430010540193511,0.08744992669025145,0.5174604668837625,136
google/gemma-7b-it,Gemma 7B IT,results_cross_model\gemma_indirect_only\google_gemma-7b-it__pool-mean_nonpad__seed-42,3,suppressed_indirect,0.1985854448141086,0.6138813477377727,0.7022198496419425,0.41529590292366403,0.08833850190416977,0.503634404827834,136
google/gemma-7b-it,Gemma 7B IT,results_cross_model\gemma_indirect_only\google_gemma-7b-it__pool-mean_nonpad__seed-42,4,suppressed_indirect,0.1605927495430585,0.5950584532514336,0.7102756749526837,0.43446570370837506,0.11521722170125014,0.5496829254096253,136
google/gemma-7b-it,Gemma 7B IT,results_cross_model\gemma_indirect_only\google_gemma-7b-it__pool-mean_nonpad__seed-42,5,suppressed_indirect,0.13360468693475694,0.5496402142234555,0.6738175518475952,0.4160355272886986,0.12417733762413959,0.5402128649128382,136
google/gemma-7b-it,Gemma 7B IT,results_cross_model\gemma_indirect_only\google_gemma-7b-it__pool-mean_nonpad__seed-42,6,suppressed_indirect,0.1351079322169702,0.5455188289477316,0.6869291203936596,0.41041089673076137,0.1414102914459281,0.5518211881766895,136
google/gemma-7b-it,Gemma 7B IT,results_cross_model\gemma_indirect_only\google_gemma-7b-it__pool-mean_nonpad__seed-42,7,suppressed_indirect,0.1160072361383239,0.5194608770453099,0.6643943238945577,0.4034536409069858,0.14493344684924778,0.5483870877562337,136
google/gemma-7b-it,Gemma 7B IT,results_cross_model\gemma_indirect_only\google_gemma-7b-it__pool-mean_nonpad__seed-42,8,suppressed_indirect,0.10754998066536396,0.4922806380219928,0.5674671056934416,0.3847306573566287,0.0751864676714489,0.4599171250280777,136
google/gemma-7b-it,Gemma 7B IT,results_cross_model\gemma_indirect_only\google_gemma-7b-it__pool-mean_nonpad__seed-42,9,suppressed_indirect,0.10155537140702786,0.48248326765695626,0.5429670997364175,0.38092789624992845,0.06048383207946132,0.4414117283293897,136
google/gemma-7b-it,Gemma 7B IT,results_cross_model\gemma_indirect_only\google_gemma-7b-it__pool-mean_nonpad__seed-42,10,suppressed_indirect,0.09748720025169075,0.4862024112526415,0.5295760839662099,0.3887152110009508,0.04337367271356848,0.4320888837145192,136
google/gemma-7b-it,Gemma 7B IT,results_cross_model\gemma_indirect_only\google_gemma-7b-it__pool-mean_nonpad__seed-42,11,suppressed_indirect,0.10976281586984755,0.518548740336415,0.5982262161596428,0.4087859244665675,0.07967747582322782,0.4884634002897952,136
google/gemma-7b-it,Gemma 7B IT,results_cross_model\gemma_indirect_only\google_gemma-7b-it__pool-mean_nonpad__seed-42,12,suppressed_indirect,0.11180882384317725,0.4818332737730998,0.5992877140237832,0.37002444992992256,0.11745444025068338,0.48747889018060586,136
google/gemma-7b-it,Gemma 7B IT,results_cross_model\gemma_indirect_only\google_gemma-7b-it__pool-mean_nonpad__seed-42,13,suppressed_indirect,0.11278539143553568,0.48771394548598473,0.6660104051233788,0.374928554050449,0.17829645963739413,0.553225013687843,136
google/gemma-7b-it,Gemma 7B IT,results_cross_model\gemma_indirect_only\google_gemma-7b-it__pool-mean_nonpad__seed-42,14,suppressed_indirect,0.124886847007942,0.5088852396750071,0.6980421089052344,0.38399839266706504,0.18915686923022723,0.5731552618972923,136
google/gemma-7b-it,Gemma 7B IT,results_cross_model\gemma_indirect_only\google_gemma-7b-it__pool-mean_nonpad__seed-42,15,suppressed_indirect,0.12122665509058947,0.5225766452181152,0.6938383029642605,0.40134999012752576,0.1712616577461454,0.5726116478736711,136
google/gemma-7b-it,Gemma 7B IT,results_cross_model\gemma_indirect_only\google_gemma-7b-it__pool-mean_nonpad__seed-42,16,suppressed_indirect,0.13311711860320716,0.5041856696105139,0.7262843796515969,0.37106855100730685,0.22209871004108295,0.5931672610483898,136
google/gemma-7b-it,Gemma 7B IT,results_cross_model\gemma_indirect_only\google_gemma-7b-it__pool-mean_nonpad__seed-42,17,suppressed_indirect,0.1266917787145506,0.4837816671482456,0.7324981082408177,0.35708988843369505,0.2487164410925723,0.6058063295262672,136
google/gemma-7b-it,Gemma 7B IT,results_cross_model\gemma_indirect_only\google_gemma-7b-it__pool-mean_nonpad__seed-42,18,suppressed_indirect,0.1364868697345676,0.4895144025959182,0.7250710160159524,0.35302753286135063,0.23555661342003406,0.5885841462813848,136
google/gemma-7b-it,Gemma 7B IT,results_cross_model\gemma_indirect_only\google_gemma-7b-it__pool-mean_nonpad__seed-42,19,suppressed_indirect,0.15033093634972752,0.4863780793322892,0.7214545193563672,0.3360471429825617,0.23507644002407793,0.5711235830066397,136
google/gemma-7b-it,Gemma 7B IT,results_cross_model\gemma_indirect_only\google_gemma-7b-it__pool-mean_nonpad__seed-42,20,suppressed_indirect,0.13434225578545916,0.5197758496701729,0.7396508877402104,0.3854335938847137,0.21987503807003753,0.6053086319547512,136
google/gemma-7b-it,Gemma 7B IT,results_cross_model\gemma_indirect_only\google_gemma-7b-it__pool-mean_nonpad__seed-42,21,suppressed_indirect,0.13787846980709234,0.5362818061213193,0.7932074326016828,0.3984033363142268,0.25692562648036354,0.6553289627945905,136
google/gemma-7b-it,Gemma 7B IT,results_cross_model\gemma_indirect_only\google_gemma-7b-it__pool-mean_nonpad__seed-42,22,suppressed_indirect,0.12358741313567613,0.538012592858192,0.8271253361154514,0.4144251797225159,0.2891127432572591,0.7035379229797749,136
google/gemma-7b-it,Gemma 7B IT,results_cross_model\gemma_indirect_only\google_gemma-7b-it__pool-mean_nonpad__seed-42,23,suppressed_indirect,0.1322439372026066,0.5482532808641357,0.8386870468229838,0.41600934366152903,0.29043376595884807,0.7064431096203772,136
google/gemma-7b-it,Gemma 7B IT,results_cross_model\gemma_indirect_only\google_gemma-7b-it__pool-mean_nonpad__seed-42,24,suppressed_indirect,0.12305479248280887,0.5645729621269245,0.8319567551879291,0.44151816964411555,0.26738379306100457,0.7089019627051201,136
