concept,layer,split_seed,probe_accuracy,probe_auc,probe_f1,n_train,n_test,n_positive,n_negative
gun,5,13,0.8571428571428571,0.9907407407407407,0.8571428571428571,37,21,24,34
gun,5,42,0.8571428571428571,0.9722222222222222,0.8571428571428571,37,21,24,34
gun,5,101,0.7619047619047619,0.8703703703703705,0.7619047619047619,37,21,24,34
gun,6,13,0.9047619047619048,0.9814814814814814,0.9,37,21,24,34
gun,6,42,0.8571428571428571,0.9722222222222222,0.8571428571428571,37,21,24,34
gun,6,101,0.6666666666666666,0.861111111111111,0.6666666666666666,37,21,24,34
gun,7,13,0.9047619047619048,0.962962962962963,0.9,37,21,24,34
gun,7,42,0.8571428571428571,0.9814814814814814,0.8571428571428571,37,21,24,34
gun,7,101,0.7142857142857143,0.8518518518518519,0.7272727272727273,37,21,24,34
gun,8,13,0.9047619047619048,0.9722222222222223,0.9,37,21,24,34
gun,8,42,0.8095238095238095,0.9814814814814814,0.8181818181818182,37,21,24,34
gun,8,101,0.7142857142857143,0.8888888888888888,0.7272727272727273,37,21,24,34
gun,9,13,0.9047619047619048,0.9444444444444444,0.9,37,21,24,34
gun,9,42,0.8571428571428571,0.9722222222222222,0.8571428571428571,37,21,24,34
gun,9,101,0.7142857142857143,0.8611111111111112,0.7272727272727273,37,21,24,34
gun,10,13,0.8571428571428571,0.9351851851851851,0.8421052631578947,37,21,24,34
gun,10,42,0.8571428571428571,0.9444444444444444,0.8571428571428571,37,21,24,34
gun,10,101,0.7142857142857143,0.861111111111111,0.7272727272727273,37,21,24,34
gun,11,13,0.8571428571428571,0.9074074074074074,0.8421052631578947,37,21,24,34
gun,11,42,0.8571428571428571,0.9444444444444444,0.8571428571428571,37,21,24,34
gun,11,101,0.7142857142857143,0.861111111111111,0.7272727272727273,37,21,24,34
gun,12,13,0.8571428571428571,0.9259259259259259,0.8421052631578947,37,21,24,34
gun,12,42,0.8095238095238095,0.9444444444444444,0.8181818181818182,37,21,24,34
gun,12,101,0.7142857142857143,0.861111111111111,0.7272727272727273,37,21,24,34
gun,13,13,0.8571428571428571,0.8981481481481481,0.8421052631578947,37,21,24,34
gun,13,42,0.8095238095238095,0.9537037037037037,0.8181818181818182,37,21,24,34
gun,13,101,0.7142857142857143,0.8425925925925926,0.7272727272727273,37,21,24,34
gun,14,13,0.8571428571428571,0.8981481481481481,0.8421052631578947,37,21,24,34
gun,14,42,0.8095238095238095,0.9537037037037037,0.8181818181818182,37,21,24,34
gun,14,101,0.7142857142857143,0.8518518518518519,0.7272727272727273,37,21,24,34
gun,15,13,0.8571428571428571,0.9074074074074074,0.8421052631578947,37,21,24,34
gun,15,42,0.8095238095238095,0.9537037037037037,0.8181818181818182,37,21,24,34
gun,15,101,0.7142857142857143,0.8518518518518519,0.7272727272727273,37,21,24,34
gun,16,13,0.9047619047619048,0.9166666666666667,0.9,37,21,24,34
gun,16,42,0.8571428571428571,0.962962962962963,0.8571428571428571,37,21,24,34
gun,16,101,0.7142857142857143,0.8703703703703703,0.7272727272727273,37,21,24,34
gun,17,13,0.8571428571428571,0.9166666666666667,0.8421052631578947,37,21,24,34
gun,17,42,0.8571428571428571,0.962962962962963,0.8571428571428571,37,21,24,34
gun,17,101,0.7142857142857143,0.8333333333333334,0.7272727272727273,37,21,24,34
gun,18,13,0.8571428571428571,0.9351851851851852,0.8421052631578947,37,21,24,34
gun,18,42,0.8571428571428571,0.9722222222222222,0.8571428571428571,37,21,24,34
gun,18,101,0.7142857142857143,0.8703703703703703,0.7272727272727273,37,21,24,34
gun,19,13,0.8571428571428571,0.9444444444444444,0.8421052631578947,37,21,24,34
gun,19,42,0.8571428571428571,0.9722222222222222,0.8571428571428571,37,21,24,34
gun,19,101,0.7142857142857143,0.8796296296296295,0.7272727272727273,37,21,24,34
gun,20,13,0.8571428571428571,0.9259259259259259,0.8421052631578947,37,21,24,34
gun,20,42,0.8571428571428571,0.9629629629629629,0.8571428571428571,37,21,24,34
gun,20,101,0.7142857142857143,0.8518518518518519,0.7272727272727273,37,21,24,34
gun,21,13,0.9047619047619048,0.9259259259259259,0.9,37,21,24,34
gun,21,42,0.8571428571428571,0.9722222222222222,0.8571428571428571,37,21,24,34
gun,21,101,0.7142857142857143,0.8611111111111112,0.7272727272727273,37,21,24,34
gun,22,13,0.9047619047619048,0.9259259259259259,0.9,37,21,24,34
gun,22,42,0.8571428571428571,0.9629629629629629,0.8571428571428571,37,21,24,34
gun,22,101,0.7142857142857143,0.8611111111111112,0.7272727272727273,37,21,24,34
gun,23,13,0.9047619047619048,0.9629629629629629,0.9,37,21,24,34
gun,23,42,0.9047619047619048,0.9722222222222222,0.9,37,21,24,34
gun,23,101,0.7142857142857143,0.9166666666666666,0.7272727272727273,37,21,24,34
gun,24,13,0.9047619047619048,0.9629629629629629,0.9,37,21,24,34
gun,24,42,0.9047619047619048,0.9722222222222222,0.9,37,21,24,34
gun,24,101,0.7142857142857143,0.8981481481481481,0.7272727272727273,37,21,24,34
gun,25,13,0.9047619047619048,0.9629629629629629,0.9,37,21,24,34
gun,25,42,0.9047619047619048,0.9722222222222222,0.9,37,21,24,34
gun,25,101,0.7142857142857143,0.9166666666666666,0.7272727272727273,37,21,24,34
gun,26,13,0.9047619047619048,0.9629629629629629,0.9,37,21,24,34
gun,26,42,0.9047619047619048,0.9722222222222222,0.9,37,21,24,34
gun,26,101,0.7142857142857143,0.9074074074074073,0.7272727272727273,37,21,24,34
gun,27,13,0.9047619047619048,0.9629629629629629,0.9,37,21,24,34
gun,27,42,0.9047619047619048,0.9722222222222222,0.9,37,21,24,34
gun,27,101,0.7142857142857143,0.9074074074074073,0.7272727272727273,37,21,24,34
gun,28,13,0.9047619047619048,0.9629629629629629,0.9,37,21,24,34
gun,28,42,0.9047619047619048,0.9722222222222222,0.9,37,21,24,34
gun,28,101,0.7142857142857143,0.9074074074074073,0.7272727272727273,37,21,24,34
gun,29,13,0.9047619047619048,0.9537037037037037,0.9,37,21,24,34
gun,29,42,0.9047619047619048,0.9722222222222222,0.9,37,21,24,34
gun,29,101,0.7142857142857143,0.9074074074074073,0.7272727272727273,37,21,24,34
gun,30,13,0.9047619047619048,0.9351851851851852,0.9,37,21,24,34
gun,30,42,0.9047619047619048,0.9722222222222222,0.9,37,21,24,34
gun,30,101,0.7142857142857143,0.8981481481481481,0.7272727272727273,37,21,24,34
gun,31,13,0.9047619047619048,0.9259259259259259,0.9,37,21,24,34
gun,31,42,0.9047619047619048,0.9722222222222222,0.9,37,21,24,34
gun,31,101,0.7142857142857143,0.8888888888888888,0.7272727272727273,37,21,24,34
gun,32,13,0.9047619047619048,0.9259259259259259,0.9,37,21,24,34
gun,32,42,0.8571428571428571,0.9629629629629629,0.8571428571428571,37,21,24,34
gun,32,101,0.7142857142857143,0.888888888888889,0.7272727272727273,37,21,24,34
bomb,0,13,0.6666666666666666,0.787037037037037,0.6666666666666666,37,21,24,34
bomb,0,42,0.8095238095238095,0.8333333333333333,0.75,37,21,24,34
bomb,0,101,0.8571428571428571,0.962962962962963,0.8421052631578947,37,21,24,34
bomb,1,13,0.7619047619047619,0.8981481481481481,0.7368421052631579,37,21,24,34
bomb,1,42,0.8571428571428571,0.9166666666666666,0.8235294117647058,37,21,24,34
bomb,1,101,1.0,1.0,1.0,37,21,24,34
bomb,2,13,0.7142857142857143,0.8703703703703705,0.7,37,21,24,34
bomb,2,42,0.8095238095238095,0.8981481481481481,0.7777777777777778,37,21,24,34
bomb,2,101,1.0,1.0,1.0,37,21,24,34
bomb,3,13,0.7142857142857143,0.8796296296296297,0.7,37,21,24,34
bomb,3,42,0.9523809523809523,0.9722222222222222,0.9473684210526315,37,21,24,34
bomb,3,101,1.0,1.0,1.0,37,21,24,34
bomb,4,13,0.9047619047619048,0.9814814814814815,0.8888888888888888,37,21,24,34
bomb,4,42,1.0,1.0,1.0,37,21,24,34
bomb,4,101,0.9523809523809523,1.0,0.9473684210526315,37,21,24,34
bomb,5,13,0.9523809523809523,1.0,0.9411764705882353,37,21,24,34
bomb,5,42,1.0,1.0,1.0,37,21,24,34
bomb,5,101,0.9047619047619048,0.9907407407407407,0.9,37,21,24,34
bomb,6,13,0.9523809523809523,0.9907407407407407,0.9411764705882353,37,21,24,34
bomb,6,42,1.0,1.0,1.0,37,21,24,34
bomb,6,101,0.9523809523809523,1.0,0.9473684210526315,37,21,24,34
bomb,7,13,0.9523809523809523,0.9814814814814814,0.9473684210526315,37,21,24,34
bomb,7,42,1.0,1.0,1.0,37,21,24,34
bomb,7,101,0.8571428571428571,1.0,0.8571428571428571,37,21,24,34
bomb,8,13,0.9047619047619048,0.9814814814814814,0.8888888888888888,37,21,24,34
bomb,8,42,1.0,1.0,1.0,37,21,24,34
bomb,8,101,0.8571428571428571,1.0,0.8571428571428571,37,21,24,34
bomb,9,13,0.8571428571428571,0.9722222222222223,0.8421052631578947,37,21,24,34
bomb,9,42,1.0,1.0,1.0,37,21,24,34
bomb,9,101,0.8571428571428571,1.0,0.8571428571428571,37,21,24,34
bomb,10,13,0.9047619047619048,0.9814814814814814,0.9,37,21,24,34
bomb,10,42,0.9523809523809523,0.9907407407407407,0.9473684210526315,37,21,24,34
bomb,10,101,0.8571428571428571,1.0,0.8571428571428571,37,21,24,34
bomb,11,13,0.9523809523809523,0.9814814814814814,0.9473684210526315,37,21,24,34
bomb,11,42,0.9523809523809523,1.0,0.9473684210526315,37,21,24,34
bomb,11,101,0.9047619047619048,1.0,0.9,37,21,24,34
bomb,12,13,0.9523809523809523,0.9814814814814814,0.9473684210526315,37,21,24,34
bomb,12,42,0.9523809523809523,1.0,0.9473684210526315,37,21,24,34
bomb,12,101,0.9047619047619048,1.0,0.9,37,21,24,34
bomb,13,13,0.9047619047619048,0.962962962962963,0.9,37,21,24,34
bomb,13,42,0.9047619047619048,0.9814814814814814,0.9,37,21,24,34
bomb,13,101,0.9047619047619048,1.0,0.9,37,21,24,34
bomb,14,13,0.9047619047619048,0.9537037037037037,0.9,37,21,24,34
bomb,14,42,0.9523809523809523,0.9907407407407407,0.9473684210526315,37,21,24,34
bomb,14,101,0.9047619047619048,1.0,0.9,37,21,24,34
bomb,15,13,0.8571428571428571,0.9537037037037037,0.8421052631578947,37,21,24,34
bomb,15,42,0.9523809523809523,0.9907407407407407,0.9473684210526315,37,21,24,34
bomb,15,101,0.9047619047619048,1.0,0.9,37,21,24,34
bomb,16,13,0.8095238095238095,0.9444444444444444,0.7777777777777778,37,21,24,34
bomb,16,42,0.9047619047619048,0.9907407407407407,0.8888888888888888,37,21,24,34
bomb,16,101,0.9047619047619048,1.0,0.9,37,21,24,34
bomb,17,13,0.9523809523809523,1.0,0.9411764705882353,37,21,24,34
bomb,17,42,1.0,1.0,1.0,37,21,24,34
bomb,17,101,0.9047619047619048,1.0,0.9,37,21,24,34
bomb,18,13,0.9523809523809523,0.9907407407407407,0.9473684210526315,37,21,24,34
bomb,18,42,1.0,1.0,1.0,37,21,24,34
bomb,18,101,0.9047619047619048,1.0,0.9,37,21,24,34
bomb,19,13,0.9523809523809523,1.0,0.9473684210526315,37,21,24,34
bomb,19,42,1.0,1.0,1.0,37,21,24,34
bomb,19,101,0.9523809523809523,1.0,0.9473684210526315,37,21,24,34
bomb,20,13,1.0,1.0,1.0,37,21,24,34
bomb,20,42,1.0,1.0,1.0,37,21,24,34
bomb,20,101,1.0,1.0,1.0,37,21,24,34
bomb,21,13,1.0,1.0,1.0,37,21,24,34
bomb,21,42,1.0,1.0,1.0,37,21,24,34
bomb,21,101,1.0,1.0,1.0,37,21,24,34
bomb,22,13,0.9523809523809523,1.0,0.9473684210526315,37,21,24,34
bomb,22,42,1.0,1.0,1.0,37,21,24,34
bomb,22,101,1.0,1.0,1.0,37,21,24,34
bomb,23,13,0.9523809523809523,1.0,0.9473684210526315,37,21,24,34
bomb,23,42,1.0,1.0,1.0,37,21,24,34
bomb,23,101,0.9523809523809523,1.0,0.9473684210526315,37,21,24,34
bomb,24,13,0.9523809523809523,1.0,0.9473684210526315,37,21,24,34
bomb,24,42,1.0,1.0,1.0,37,21,24,34
bomb,24,101,1.0,1.0,1.0,37,21,24,34
bomb,25,13,1.0,1.0,1.0,37,21,24,34
bomb,25,42,1.0,1.0,1.0,37,21,24,34
bomb,25,101,1.0,1.0,1.0,37,21,24,34
bomb,26,13,1.0,1.0,1.0,37,21,24,34
bomb,26,42,1.0,1.0,1.0,37,21,24,34
bomb,26,101,1.0,1.0,1.0,37,21,24,34
bomb,27,13,1.0,1.0,1.0,37,21,24,34
bomb,27,42,1.0,1.0,1.0,37,21,24,34
bomb,27,101,1.0,1.0,1.0,37,21,24,34
bomb,28,13,1.0,1.0,1.0,37,21,24,34
bomb,28,42,1.0,1.0,1.0,37,21,24,34
bomb,28,101,1.0,1.0,1.0,37,21,24,34
bomb,29,13,0.9523809523809523,1.0,0.9473684210526315,37,21,24,34
bomb,29,42,1.0,1.0,1.0,37,21,24,34
bomb,29,101,1.0,1.0,1.0,37,21,24,34
bomb,30,13,0.9523809523809523,1.0,0.9473684210526315,37,21,24,34
bomb,30,42,1.0,1.0,1.0,37,21,24,34
bomb,30,101,0.9523809523809523,1.0,0.9473684210526315,37,21,24,34
bomb,31,13,0.9523809523809523,0.9907407407407407,0.9473684210526315,37,21,24,34
bomb,31,42,1.0,1.0,1.0,37,21,24,34
bomb,31,101,0.9523809523809523,1.0,0.9473684210526315,37,21,24,34
bomb,32,13,0.9047619047619048,0.9907407407407407,0.8888888888888888,37,21,24,34
bomb,32,42,0.9523809523809523,1.0,0.9411764705882353,37,21,24,34
bomb,32,101,0.9523809523809523,1.0,0.9473684210526315,37,21,24,34
alcohol,0,13,0.5238095238095238,0.49074074074074076,0.5833333333333334,37,21,24,34
alcohol,0,42,0.42857142857142855,0.46296296296296297,0.45454545454545453,37,21,24,34
alcohol,0,101,0.5238095238095238,0.4722222222222222,0.5,37,21,24,34
alcohol,1,13,0.42857142857142855,0.46296296296296297,0.45454545454545453,37,21,24,34
alcohol,1,42,0.3333333333333333,0.3796296296296296,0.36363636363636365,37,21,24,34
alcohol,1,101,0.47619047619047616,0.5462962962962963,0.47619047619047616,37,21,24,34
alcohol,2,13,0.47619047619047616,0.4722222222222222,0.5217391304347826,37,21,24,34
alcohol,2,42,0.38095238095238093,0.4074074074074074,0.38095238095238093,37,21,24,34
alcohol,2,101,0.42857142857142855,0.5277777777777778,0.4,37,21,24,34
alcohol,3,13,0.6666666666666666,0.6111111111111112,0.72,37,21,24,34
alcohol,3,42,0.5238095238095238,0.5925925925925926,0.5833333333333334,37,21,24,34
alcohol,3,101,0.6190476190476191,0.7314814814814814,0.6,37,21,24,34
alcohol,4,13,0.6666666666666666,0.6481481481481481,0.6956521739130435,37,21,24,34
alcohol,4,42,0.47619047619047616,0.5740740740740741,0.5217391304347826,37,21,24,34
alcohol,4,101,0.6190476190476191,0.7777777777777778,0.5555555555555556,37,21,24,34
alcohol,5,13,0.6666666666666666,0.7407407407407407,0.6956521739130435,37,21,24,34
alcohol,5,42,0.5238095238095238,0.7592592592592593,0.5454545454545454,37,21,24,34
alcohol,5,101,0.8095238095238095,0.8703703703703705,0.75,37,21,24,34
alcohol,6,13,0.7142857142857143,0.7962962962962963,0.7272727272727273,37,21,24,34
alcohol,6,42,0.6190476190476191,0.8148148148148148,0.6363636363636364,37,21,24,34
alcohol,6,101,0.8095238095238095,0.9444444444444444,0.75,37,21,24,34
alcohol,7,13,0.7142857142857143,0.8425925925925926,0.7272727272727273,37,21,24,34
alcohol,7,42,0.6666666666666666,0.8703703703703703,0.6666666666666666,37,21,24,34
alcohol,7,101,0.8571428571428571,0.9537037037037037,0.8235294117647058,37,21,24,34
alcohol,8,13,0.7619047619047619,0.861111111111111,0.7619047619047619,37,21,24,34
alcohol,8,42,0.6190476190476191,0.861111111111111,0.6363636363636364,37,21,24,34
alcohol,8,101,0.8571428571428571,0.962962962962963,0.8235294117647058,37,21,24,34
alcohol,9,13,0.7619047619047619,0.7685185185185185,0.7619047619047619,37,21,24,34
alcohol,9,42,0.5714285714285714,0.8703703703703703,0.6086956521739131,37,21,24,34
alcohol,9,101,0.8571428571428571,0.9537037037037037,0.8235294117647058,37,21,24,34
alcohol,10,13,0.7619047619047619,0.787037037037037,0.7619047619047619,37,21,24,34
alcohol,10,42,0.6190476190476191,0.8518518518518519,0.6666666666666666,37,21,24,34
alcohol,10,101,0.9047619047619048,0.9444444444444444,0.875,37,21,24,34
alcohol,11,13,0.7619047619047619,0.8055555555555555,0.7619047619047619,37,21,24,34
alcohol,11,42,0.6190476190476191,0.8333333333333334,0.6666666666666666,37,21,24,34
alcohol,11,101,0.9047619047619048,0.9444444444444445,0.875,37,21,24,34
alcohol,12,13,0.7619047619047619,0.787037037037037,0.7619047619047619,37,21,24,34
alcohol,12,42,0.6190476190476191,0.8055555555555556,0.6666666666666666,37,21,24,34
alcohol,12,101,0.8095238095238095,0.962962962962963,0.7777777777777778,37,21,24,34
alcohol,13,13,0.7619047619047619,0.7777777777777778,0.7619047619047619,37,21,24,34
alcohol,13,42,0.5714285714285714,0.8240740740740741,0.6086956521739131,37,21,24,34
alcohol,13,101,0.9523809523809523,0.9722222222222222,0.9411764705882353,37,21,24,34
alcohol,14,13,0.7619047619047619,0.8055555555555556,0.7619047619047619,37,21,24,34
alcohol,14,42,0.6190476190476191,0.8240740740740741,0.6363636363636364,37,21,24,34
alcohol,14,101,0.9047619047619048,0.9722222222222222,0.875,37,21,24,34
alcohol,15,13,0.7142857142857143,0.8055555555555556,0.7272727272727273,37,21,24,34
alcohol,15,42,0.5714285714285714,0.8055555555555556,0.6086956521739131,37,21,24,34
alcohol,15,101,0.9047619047619048,0.9722222222222222,0.8888888888888888,37,21,24,34
alcohol,16,13,0.7142857142857143,0.7777777777777779,0.7272727272727273,37,21,24,34
alcohol,16,42,0.5238095238095238,0.7870370370370371,0.5833333333333334,37,21,24,34
alcohol,16,101,0.8095238095238095,0.9537037037037037,0.75,37,21,24,34
alcohol,17,13,0.7142857142857143,0.7685185185185186,0.7272727272727273,37,21,24,34
alcohol,17,42,0.5238095238095238,0.75,0.5833333333333334,37,21,24,34
alcohol,17,101,0.8095238095238095,0.9259259259259259,0.75,37,21,24,34
alcohol,18,13,0.6666666666666666,0.7685185185185186,0.6956521739130435,37,21,24,34
alcohol,18,42,0.47619047619047616,0.712962962962963,0.56,37,21,24,34
alcohol,18,101,0.7619047619047619,0.8981481481481481,0.7058823529411765,37,21,24,34
alcohol,19,13,0.6666666666666666,0.7592592592592593,0.6956521739130435,37,21,24,34
